id,title,type,release_year,runtime,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,actor_ids,director_ids
tm352705,Jack Whitehall: At Large,MOVIE,2017,67,comedy,GB,6.8,2164.0,4.192,7.1,62277,57599
tm376801,The Rachel Divide,MOVIE,2018,104,documentation,US,6.3,2558.0,3.726,6.2,"881668, 881669, 881670, 881671, 881672, 881673, 881674, 853277",1990356
tm306631,Trevor Noah: Afraid of the Dark,MOVIE,2017,68,comedy,US,7.2,5213.0,4.794,7.1,85045,118156
tm370447,The Tree of Blood,MOVIE,2018,130,"drama, european",ES,6.3,3007.0,8.739,6.5,"71044, 13211, 71071, 105631, 252326, 968488, 51241, 874038, 555448, 2621, 274372, 271432, 161999, 82138, 399593, 54130, 33523, 288244, 826231, 589433, 42621",13214
tm375962,Nothing to Lose,MOVIE,2018,130,drama,BR,2.3,23031.0,45.267,5.5,"2200352, 931526, 880166, 2200263, 126827, 2200491, 436845, 423565, 603083, 234553, 785050",101314
ts79856,SWORDGAI The Animation,SHOW,2018,23,"action, animation, scifi, fantasy, horror",JP,5.8,932.0,21.229,7.1,"157027, 60773, 61030, 97171, 826547, 863383, 97304, 249, 4607",
ts84782,Larva Island,SHOW,2018,8,"animation, comedy","US, KR",6.5,430.0,15.128,6.9,,
ts83045,Accidentally In Love,SHOW,2018,31,"family, drama, comedy, music, romance",CN,7.4,1156.0,29.906,7.9,"750212, 293484, 1171348, 932149, 336409, 1171388",
tm414340,Spivak,MOVIE,2018,91,comedy,US,5.6,754.0,2.897,5.6,"21601, 1002, 94540, 13580, 242608, 3700, 24405, 29878, 28473, 116825, 283450, 12667, 90781, 10942","428272, 428273"
tm313118,"Love, Surreal and Odd",MOVIE,2017,95,"comedy, romance",TR,5.6,3240.0,2.354,5.2,"280226, 97732, 225551, 252719, 175986, 206812, 160958, 160959",80741
tm408871,Jefe,MOVIE,2018,89,"comedy, european",ES,5.4,1102.0,5.169,5.5,"71073, 186082, 874019, 43716, 72643, 874024, 504842, 179179, 122864, 238067, 30235",54134
ts83204,Million Pound Menu,SHOW,2018,60,reality,GB,6.6,565.0,4.744,6.2,,
tm363787,Christmas in the Heartland,MOVIE,2017,90,family,US,5.8,1435.0,5.296,6.3,"1760130, 20870, 1364873, 1365137, 18078, 1311268, 247209, 121898, 192811, 1188272, 668338, 1511733, 30133, 1351480, 701626, 1008065, 29648, 837718, 1759451, 1214687, 1760374, 96890, 14587, 43261, 109951",247209
tm409817,Sir,MOVIE,2018,98,"drama, romance, european","IN, FR",7.7,7109.0,5.83,7.1,"276232, 1587340, 224525, 1587344, 1586963, 1587348, 1587352, 1587356, 1587359, 237088, 1516193, 1586848, 1587363, 1587369, 1587380, 739385, 2052157, 755519, 67395, 119504, 1531734, 251481, 128498, 229368, 1389308",67823
ts80751,The Break with Michelle Wolf,SHOW,2018,26,comedy,US,5.1,1870.0,2.61,4.8,883860,
tm286520,Jim Gaffigan: Cinco,MOVIE,2017,73,comedy,US,7.1,2406.0,4.413,7.0,12686,117760
tm244287,Half Girlfriend,MOVIE,2017,135,"drama, romance",IN,4.5,7233.0,9.16,6.7,"65250, 364930, 260267, 185995, 56782, 66480, 230681, 65820",56786
ts74765,Daughters of Destiny,SHOW,2017,61,documentation,IN,8.6,922.0,2.962,7.7,,3217
tm364206,Ex-Shaman,MOVIE,2018,81,documentation,BR,7.1,253.0,1.688,6.7,,282432
tm411358,The American Meme,MOVIE,2018,90,documentation,US,6.7,16650.0,4.687,5.9,"49633, 637409, 558754, 325994, 12016, 16211, 731028, 995509",250719
ts82559,Amazing Interiors,SHOW,2018,26,documentation,"GB, US",6.6,802.0,3.207,6.4,,
ts81944,The Comedy Lineup,SHOW,2018,15,"comedy, action",,5.9,461.0,0.84,6.0,,
tm283559,The Art of Loving: Story of Michalina Wislocka,MOVIE,2017,121,"comedy, romance, drama, european",PL,7.1,3690.0,6.458,6.6,"106386, 56852, 170405, 53417, 607154, 1647670, 1038264, 160314, 226249, 197195, 278864, 236625, 366678, 109546, 164075, 274028, 962030, 160753, 170623",201417
ts75887,Paul Hollywood's Big Continental Road Trip,SHOW,2017,59,"documentation, european",GB,7.4,211.0,2.926,6.0,514647,613749
ts89372,Titipo Titipo,SHOW,2018,18,animation,KR,6.8,20.0,1.862,9.5,,
tm363922,Dovlatov,MOVIE,2018,126,drama,"RS, PL, RU",6.4,1994.0,3.554,6.4,"1412737, 1442946, 1294468, 1494661, 1294599, 112392, 1753479, 910605, 981390, 29712, 1162257, 1512080, 1275155, 1702549, 211094, 733591, 1302808, 47898, 112412, 343453, 2143009, 1880106, 1879855, 778288, 1275442, 1109939, 889269, 317111, 1031609, 880571, 95936, 908610, 2071875, 178631, 874834, 1423443, 208852, 125657, 2210267, 306140, 188637, 341473, 1917922, 188644, 873189, 2071910, 819430, 450021, 344681, 450026, 1605611, 1088876, 21869, 857201, 1121394, 1854581, 1389814, 947192",1002683
ts81856,Borges,SHOW,2018,0,comedy,BR,6.2,172.0,1.415,7.8,"206873, 240652, 240653, 649078",
ts76771,Stretch Armstrong & the Flex Fighters,SHOW,2017,23,"animation, action, comedy, scifi",US,6.1,318.0,4.919,7.6,"107877, 12553, 616717, 5198, 4895",
ts84335,1983,SHOW,2018,57,"drama, thriller, crime",PL,6.7,4169.0,9.601,6.5,"254533, 240743, 274024, 53416, 192071, 305264",
tm373873,Weed the People,MOVIE,2018,98,documentation,US,7.3,344.0,2.786,8.0,"1122169, 1122170, 1122187, 852346",214768
tm366143,Maktub,MOVIE,2017,100,"drama, comedy",IL,7.3,2743.0,3.088,7.2,"780355, 345316, 780357, 368009, 174506, 174507, 780345, 780347, 5820, 780351",668044
tm372969,Love per Square Foot,MOVIE,2018,133,"comedy, romance",IN,7.2,8273.0,6.028,6.7,"61025, 145986, 124582, 64749, 67441, 1029329, 745012, 745013, 841430, 68535, 68984, 65977, 84410, 64475, 53948",10216
ts93947,Wrong Kind of Black,SHOW,2018,16,"drama, comedy",AU,7.6,149.0,0.673,7.5,"60000, 114817, 180616, 2305646, 58781",
ts82160,Harvey Street Kids,SHOW,2018,24,"family, action, animation, comedy",US,6.7,254.0,9.06,8.5,"8544, 18114, 71162, 14142",
ts83247,Stay Here,SHOW,2018,32,"reality, documentation",US,7.4,1101.0,2.49,7.0,329219,
